Sounds,Sight,Feeling,Smell,Catalyst,Location
A fire crackles and pops,The symbol of an obscure religion,Warm and wet,Intense vinegar,,Bar
The ticking of cooling metal,,Intoxication,Fragrant herbs hiding bitterness,Noises in the walls,Hospital
A baby cries,Writhing tentacles,The thrill of fear,,Writings in a journal,Diner
Dry rustling,Hideously serrated teeth,Sparks of rage,Serpents,Unnatural pregnancy,Slaughterhouse
An automated distress call,Backed into a corner,A moment of deja-vu,The dank of a tomb,A doppleganger appears,
A chorus of animals,Something open that should not be,Gut-wrenching acceleration,The gore of a slaughterhouse,A nightmare,Laboratory
"A record skips, repeating",A brand burned into flesh,,Overpowering primal musk,,Camp
A one-sided conversation,,A mental fog lifts,Just before a storm,Haunted by the past,Tower
Something in the walls,,Awake but paralyzed,Moss and old earth,Stupid kids,Rest stop
,Odd footprints leading,Sudden vertigo,Smoke and blood,Eerie Coincidences,Quarantine Zone
BANG,A swarm of flies,Overwhelming despair,Dry-rot,Fire,Junkyard
An inhuman babbling,,A tap on the shoulder,Crisp winter wind,Framed,Graveyard
Desperate pleading,A dilapidated road sign,Suddenly yanked backwards,A heady whiff of marker,Locked in with a beast,Home
A warning growl,Claw marks,Sticky with blood,Pond scum,New abilitiy manifests,Theatre
Communications cut off,Ornate glass-fronted case,Pressure on your ears,A public toilet,Drugged into stupor,Base
Slurping greedily,A finely-tailored suit,Hot breath on your neck,A corpse pit,,Retreat
Impish giggling,Lurid colors,Eyes watching you,Strangely alluring scent,A tainted gift,Gated community
A door locks,Iron-bound oak,,,An apparent haunting,Amusement Park
Eerily Quiet,"A slow, stately procession",Losing control of limbs,Tainted breath,,Basement
,Almost-concealed bruises,Ice in your veins,Decaying seaweed,A party gone wrong,Island
Grunting and snorting,A smile below dead eyes,A sudden impact,,An evil curse,Forest
